epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4489,0.2808,1.80269,0.98003,0.42668,0.80096,0.53949,0.52212,0.24141,1.25507,0.13251,0.00041507,0.00041507,0.00041507
2,26.9688,0.18878,1.10251,0.91984,0.43992,0.7986,0.49065,0.48018,0.23809,1.44676,0.11887,0.000823503,0.000823503,0.000823503
3,39.2237,0.17354,1.03991,0.90812,0.53749,0.54015,0.33504,0.30539,0.26774,1.67406,0.14061,0.00122369,0.00122369,0.00122369
4,51.2324,0.15098,0.98489,0.90303,0.45008,0.80396,0.57312,0.56716,0.24226,1.04252,0.14455,0.00121287,0.00121287,0.00121287
5,63.0586,0.13835,0.93804,0.90281,0.71764,0.53399,0.57568,0.55068,0.25446,1.21115,0.1324,0.0012005,0.0012005,0.0012005
6,75.241,0.12984,0.92172,0.90266,0.42499,0.69897,0.50524,0.49971,0.23842,1.71805,0.11918,0.00118812,0.00118812,0.00118812
7,87.4737,0.12793,0.90863,0.90264,0.49868,0.74574,0.58869,0.57367,0.24708,0.9866,0.11996,0.00117575,0.00117575,0.00117575
8,99.6017,0.11747,0.88894,0.899,0.53264,0.80644,0.693,0.67708,0.3087,1.01725,0.18832,0.00116337,0.00116337,0.00116337
9,111.454,0.11452,0.87262,0.89549,0.399,0.62936,0.5268,0.47053,0.3297,1.69284,0.14915,0.001151,0.001151,0.001151
10,123.303,0.1109,0.87053,0.89592,0.50779,0.61587,0.61577,0.56818,0.37412,1.85984,0.22563,0.00113863,0.00113863,0.00113863
11,135.115,0.1092,0.85266,0.89559,0.55562,0.67491,0.61138,0.60379,0.24177,1.01745,0.21676,0.00112625,0.00112625,0.00112625
12,146.936,0.09986,0.85094,0.89537,0.5612,0.6489,0.60783,0.5677,0.30377,1.52691,0.15363,0.00111388,0.00111388,0.00111388
13,158.779,0.10099,0.83981,0.89538,0.48084,0.73087,0.61735,0.60227,0.30591,1.19407,0.25711,0.0011015,0.0011015,0.0011015
14,170.62,0.1029,0.83935,0.89697,0.50986,0.77463,0.63363,0.60691,0.32195,0.99741,0.14861,0.00108913,0.00108913,0.00108913
15,182.479,0.10148,0.82914,0.89737,0.54881,0.82588,0.72359,0.67345,0.43622,0.91283,0.18597,0.00107675,0.00107675,0.00107675
16,194.294,0.09278,0.8262,0.89406,0.63451,0.59392,0.63647,0.62751,0.36862,1.72991,0.15631,0.00106437,0.00106437,0.00106437
17,206.072,0.0914,0.80461,0.89211,0.5502,0.79389,0.68179,0.64118,0.22494,0.96358,0.35626,0.001052,0.001052,0.001052
18,217.934,0.08915,0.81131,0.89455,0.63563,0.71574,0.71697,0.66141,0.23124,0.95528,1.27328,0.00103962,0.00103962,0.00103962
19,229.793,0.08966,0.79657,0.89249,0.49272,0.74146,0.59624,0.57505,0.13067,1.27044,1.05404,0.00102725,0.00102725,0.00102725
20,241.62,0.08694,0.79159,0.89256,0.61883,0.76023,0.70624,0.68172,0.18102,0.83719,1.20865,0.00101488,0.00101488,0.00101488
21,253.443,0.08245,0.78126,0.88944,0.5626,0.75189,0.68386,0.67679,0.06707,0.80447,1.04818,0.0010025,0.0010025,0.0010025
22,265.265,0.08323,0.77918,0.89021,0.58251,0.74651,0.68288,0.65136,0.14755,0.86561,1.16872,0.000990125,0.000990125,0.000990125
23,277.084,0.08524,0.78198,0.89219,0.6232,0.68653,0.67604,0.66939,0.08761,1.10535,1.06293,0.00097775,0.00097775,0.00097775
