epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.15756,1.04829,0.68309,1,1.1054,0.000237088,0.000237088,0.000237088
2,11.0125,0.78674,0.729,1,1.06641,0.000470385,0.000470385,0.000470385
3,15.7481,0.7538,0.77268,1,1.0306,0.000698969,0.000698969,0.000698969
4,20.3908,0.70984,0.75812,1,1.02562,0.000692794,0.000692794,0.000692794
5,25.0659,0.66826,0.77044,1,1.03285,0.000685726,0.000685726,0.000685726
6,29.6695,0.63732,0.78387,1,1.00603,0.000678657,0.000678657,0.000678657
7,34.3647,0.61455,0.79507,1,0.98865,0.000671588,0.000671588,0.000671588
8,39.1238,0.56501,0.78611,1,0.98783,0.00066452,0.00066452,0.00066452
9,43.8494,0.56884,0.80851,1,0.98462,0.000657451,0.000657451,0.000657451
10,48.5457,0.51117,0.77492,1,0.98122,0.000650383,0.000650383,0.000650383
11,53.1846,0.51343,0.80291,1,0.96565,0.000643314,0.000643314,0.000643314
12,57.8611,0.49172,0.82531,1,0.95244,0.000636245,0.000636245,0.000636245
13,62.6351,0.47036,0.79843,1,0.96436,0.000629177,0.000629177,0.000629177
14,67.4101,0.43931,0.80291,1,0.96082,0.000622108,0.000622108,0.000622108
15,72.292,0.42479,0.83651,1,0.93511,0.00061504,0.00061504,0.00061504
16,77.1582,0.42342,0.84211,1,0.93168,0.000607971,0.000607971,0.000607971
17,81.9448,0.39958,0.82979,1,0.92974,0.000600902,0.000600902,0.000600902
18,86.7443,0.40338,0.82083,1,0.94242,0.000593834,0.000593834,0.000593834
19,91.45,0.3785,0.83315,1,0.92998,0.000586765,0.000586765,0.000586765
20,96.2045,0.3514,0.85666,1,0.91307,0.000579697,0.000579697,0.000579697
21,100.977,0.3737,0.83203,1,0.928,0.000572628,0.000572628,0.000572628
22,105.695,0.35593,0.81971,1,0.93586,0.000565559,0.000565559,0.000565559
23,110.406,0.3289,0.84994,1,0.91964,0.000558491,0.000558491,0.000558491
24,115.207,0.33076,0.86338,1,0.90036,0.000551422,0.000551422,0.000551422
25,119.971,0.29803,0.8533,1,0.90201,0.000544354,0.000544354,0.000544354
26,124.744,0.2842,0.86226,1,0.89437,0.000537285,0.000537285,0.000537285
27,129.554,0.30671,0.8813,1,0.89097,0.000530216,0.000530216,0.000530216
28,134.294,0.29011,0.86226,1,0.90419,0.000523148,0.000523148,0.000523148
29,139.092,0.27113,0.86562,1,0.88661,0.000516079,0.000516079,0.000516079
30,143.838,0.27816,0.87346,1,0.88091,0.000509011,0.000509011,0.000509011
31,148.59,0.2491,0.8813,1,0.87633,0.000501942,0.000501942,0.000501942
